2020,2030,2040,2050,2060,2070,2080,2090,2100,State,Scenario
44,44,43,42,41,40,39,38,36,MA,SSP585
96,96,95,94,93,92,91,90,63,MA,SSP585
45,44,44,43,42,41,40,38,37,MA,SSP585
44,44,43,42,41,40,39,38,36,MA,SSP585
96,96,95,94,93,92,91,90,88,MA,SSP585
96,96,95,94,93,92,91,90,88,MA,SSP585
94,94,93,92,91,90,89,63,61,MA,SSP585
43,42,42,41,40,39,38,36,35,MA,SSP585
98,97,97,96,95,94,93,91,90,MA,SSP585
47,46,45,44,43,42,41,40,39,MA,SSP585
98,97,97,96,95,94,92,91,90,MA,SSP585
95,94,94,93,92,91,90,88,87,MA,SSP585
92,91,91,90,89,88,87,85,84,MA,SSP585
93,93,92,91,90,89,88,87,86,MA,SSP585
97,96,95,94,94,93,91,90,89,MA,SSP585
38,37,36,35,35,34,33,32,30,MA,SSP585
97,97,96,95,94,93,92,91,90,MA,SSP585
46,45,44,44,43,42,40,39,38,MA,SSP585
98,97,97,96,95,94,92,91,90,MA,SSP585
98,97,97,96,95,94,92,91,90,MA,SSP585
95,94,94,93,92,91,90,88,87,MA,SSP585
93,93,92,91,90,89,88,87,86,MA,SSP585
93,93,92,91,90,89,88,87,86,MA,SSP585
94,93,92,91,91,90,88,87,86,MA,SSP585
94,94,93,92,91,90,89,88,87,MA,SSP585
96,95,95,94,93,92,91,89,88,MA,SSP585
91,91,90,89,88,87,86,85,84,MA,SSP585
91,91,90,89,88,87,86,85,84,MA,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
93,92,92,91,90,89,88,86,85,BOS,SSP585
91,90,89,88,88,87,85,84,83,BOS,SSP585
94,94,93,92,91,90,89,88,87,BOS,SSP585
94,93,92,91,91,90,88,87,86,BOS,SSP585
95,94,93,92,92,91,89,88,87,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
93,92,92,91,90,89,88,87,85,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
90,90,89,88,87,86,85,84,83,BOS,SSP585
44,44,43,42,41,41,40,39,38,MA,SSP245
96,96,95,94,94,93,92,91,90,MA,SSP245
45,45,44,43,42,41,41,40,39,MA,SSP245
44,44,43,42,41,41,40,39,38,MA,SSP245
96,96,95,94,94,93,92,91,90,MA,SSP245
96,96,95,94,93,93,92,91,90,MA,SSP245
94,94,93,92,91,91,90,89,88,MA,SSP245
43,43,42,41,40,39,39,38,37,MA,SSP245
98,97,97,96,95,94,94,93,92,MA,SSP245
47,46,45,45,44,43,42,42,41,MA,SSP245
98,97,97,96,95,94,94,93,92,MA,SSP245
95,94,94,93,92,91,91,90,89,MA,SSP245
92,92,91,90,89,88,88,87,86,MA,SSP245
93,93,92,91,91,90,89,88,88,MA,SSP245
97,96,95,95,94,93,92,92,91,MA,SSP245
38,37,36,36,35,34,34,33,32,MA,SSP245
97,97,96,95,94,94,93,92,92,MA,SSP245
46,45,45,44,43,42,41,41,40,MA,SSP245
98,97,97,96,95,94,94,93,92,MA,SSP245
98,97,97,96,95,94,94,93,92,MA,SSP245
95,94,94,93,92,91,91,90,89,MA,SSP245
93,93,92,91,91,90,89,88,88,MA,SSP245
93,93,92,91,91,90,89,88,88,MA,SSP245
94,93,92,92,91,90,89,89,88,MA,SSP245
96,96,95,94,94,93,92,91,91,MA,SSP245
98,98,97,96,96,95,94,93,93,MA,SSP245
93,93,92,91,90,90,89,88,87,MA,SSP245
93,93,92,91,91,90,89,88,88,MA,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
93,93,92,91,90,89,89,88,87,BOS,SSP245
91,90,89,89,88,87,86,86,85,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
94,93,92,92,91,90,89,89,88,BOS,SSP245
95,94,93,93,92,91,90,90,89,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
93,93,92,91,90,90,89,88,87,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
90,90,89,88,88,87,86,85,85,BOS,SSP245
98,98,97,96,95,94,93,92,90,PA,SSP585
98,97,96,95,94,93,92,91,90,PA,SSP585
37,36,35,34,33,32,31,30,29,PA,SSP585
96,95,94,93,92,91,90,89,88,PA,SSP585
95,95,94,93,92,91,65,64,62,PA,SSP585
95,95,94,93,92,91,90,89,87,PA,SSP585
96,95,94,93,92,91,90,89,88,PA,SSP585
97,96,95,95,94,93,91,90,64,PA,SSP585
98,97,96,96,95,94,92,91,90,PA,SSP585
98,98,97,96,95,94,93,92,90,PA,SSP585
98,98,97,96,70,69,68,67,65,PA,SSP585
98,98,97,96,95,94,93,92,90,PA,SSP585
98,98,97,96,95,94,93,92,90,PA,SSP585
98,97,96,96,95,94,92,91,90,PA,SSP585
98,97,96,96,95,94,92,91,90,PA,SSP585
98,97,96,96,95,94,92,91,90,PA,SSP585
97,96,95,95,94,93,91,90,89,PA,SSP585
97,96,95,95,94,93,91,90,89,PA,SSP585
39,38,37,37,36,35,33,32,31,PA,SSP585
96,95,94,93,92,91,90,89,88,PA,SSP585
96,95,94,93,92,91,90,89,88,PA,SSP585
96,95,94,93,92,91,90,89,88,PA,SSP585
96,95,94,93,92,91,90,89,88,PA,SSP585
96,95,94,93,92,91,90,89,88,PA,SSP585
94,93,92,91,90,89,88,87,86,PA,SSP585
93,92,91,91,90,89,87,86,85,PA,SSP585
94,93,92,91,90,89,88,87,86,PA,SSP585
94,93,92,92,91,90,88,87,86,PA,SSP585
94,93,92,91,90,89,88,87,86,PA,SSP585
94,93,92,91,90,89,88,87,86,PA,SSP585
94,93,92,92,91,90,88,87,86,PA,SSP585
94,93,92,91,90,89,88,87,86,PA,SSP585
94,93,92,91,90,89,88,87,86,PA,SSP585
95,94,93,92,91,90,89,88,87,PA,SSP585
95,94,93,93,92,91,89,88,87,PA,SSP585
95,94,93,92,91,90,89,88,87,PA,SSP585
93,92,91,91,90,89,87,86,85,PA,SSP585
95,94,93,93,92,91,89,88,87,PA,SSP585
95,95,94,93,92,91,90,89,87,PA,SSP585
95,94,93,93,92,91,89,88,87,PA,SSP585
98,98,97,96,95,95,94,93,92,PA,SSP245
98,97,96,95,95,94,93,92,92,PA,SSP245
37,36,35,34,34,33,32,31,31,PA,SSP245
96,95,94,93,93,92,91,90,90,PA,SSP245
95,95,94,93,92,92,91,65,64,PA,SSP245
95,95,94,93,92,92,91,90,89,PA,SSP245
96,95,94,93,93,92,91,90,90,PA,SSP245
97,96,96,95,94,93,92,92,91,PA,SSP245
98,97,97,96,95,94,93,93,92,PA,SSP245
98,98,97,96,95,95,94,93,92,PA,SSP245
98,98,97,96,95,70,69,68,67,PA,SSP245
98,98,97,96,95,95,94,93,92,PA,SSP245
98,98,97,96,95,95,94,93,92,PA,SSP245
98,97,97,96,95,94,93,93,92,PA,SSP245
98,97,97,96,95,94,93,93,92,PA,SSP245
98,97,97,96,95,94,93,93,92,PA,SSP245
97,96,96,95,94,93,92,92,91,PA,SSP245
97,96,96,95,94,93,92,92,91,PA,SSP245
39,38,38,37,36,35,34,34,33,PA,SSP245
96,95,94,93,93,92,91,90,90,PA,SSP245
96,95,94,93,93,92,91,90,90,PA,SSP245
96,95,94,93,93,92,91,90,90,PA,SSP245
96,95,94,93,93,92,91,90,90,PA,SSP245
96,95,94,93,93,92,91,90,90,PA,SSP245
94,93,92,91,91,90,89,88,88,PA,SSP245
93,92,92,91,90,89,88,88,87,PA,SSP245
94,93,92,91,91,90,89,88,88,PA,SSP245
94,93,93,92,91,90,89,89,88,PA,SSP245
94,93,92,91,91,90,89,88,88,PA,SSP245
94,93,92,91,91,90,89,88,88,PA,SSP245
94,93,93,92,91,90,89,89,88,PA,SSP245
94,93,92,91,91,90,89,88,88,PA,SSP245
94,93,92,91,91,90,89,88,88,PA,SSP245
95,94,93,92,92,91,90,89,89,PA,SSP245
95,94,94,93,92,91,90,90,89,PA,SSP245
95,94,93,93,92,91,90,89,89,PA,SSP245
95,95,94,93,92,92,91,90,89,PA,SSP245
95,94,94,93,92,91,90,90,89,PA,SSP245
95,95,94,93,92,92,91,90,89,PA,SSP245
95,94,94,93,92,91,90,90,89,PA,SSP245
96,95,94,94,93,92,91,90,88,FL,SSP585
36,35,34,34,33,32,31,30,28,FL,SSP585
96,95,94,94,93,67,66,65,63,FL,SSP585
96,95,94,94,93,92,91,90,88,FL,SSP585
96,95,94,94,93,92,91,90,88,FL,SSP585
96,95,94,94,93,92,91,90,88,FL,SSP585
96,95,94,94,68,67,66,65,63,FL,SSP585
96,95,94,94,93,92,91,90,88,FL,SSP585
96,95,94,94,93,92,91,90,88,FL,SSP585
96,95,94,94,93,92,91,90,88,FL,SSP585
96,95,94,94,93,92,91,90,88,FL,SSP585
96,95,94,94,93,92,91,90,88,FL,SSP585
36,35,34,34,33,32,31,30,28,FL,SSP585
96,95,94,94,93,92,91,90,88,FL,SSP585
36,35,34,34,33,32,31,30,28,FL,SSP585
96,95,95,94,93,92,91,90,89,FL,SSP585
36,35,34,34,33,32,31,30,28,FL,SSP585
96,95,94,94,93,92,91,90,88,FL,SSP585
97,96,96,95,94,93,92,91,90,FL,SSP585
97,96,95,95,94,93,92,91,89,FL,SSP585
37,36,35,35,34,33,32,31,29,FL,SSP585
97,96,96,95,94,93,92,91,90,FL,SSP585
37,36,36,35,34,33,32,31,30,FL,SSP585
37,36,36,35,34,33,32,31,30,FL,SSP585
97,96,96,95,94,93,92,91,90,FL,SSP585
97,96,96,95,94,93,92,91,90,FL,SSP585
97,96,96,95,94,93,92,91,90,FL,SSP585
97,96,96,95,94,93,92,66,65,FL,SSP585
91,91,90,89,88,88,86,85,84,FL,SSP585
91,91,90,89,88,88,86,85,59,FL,SSP585
91,91,90,89,88,88,86,85,59,FL,SSP585
97,96,96,95,94,93,92,91,65,FL,SSP585
91,91,90,89,88,88,86,85,84,FL,SSP585
91,91,90,89,88,88,86,85,84,FL,SSP585
92,91,90,90,89,88,87,86,84,FL,SSP585
92,91,90,90,89,88,87,86,84,FL,SSP585
91,91,90,89,88,88,86,85,84,FL,SSP585
91,91,90,89,88,88,86,85,84,FL,SSP585
91,91,90,89,88,88,86,85,84,FL,SSP585
92,91,90,90,89,88,87,86,84,FL,SSP585
96,95,94,94,93,92,92,91,90,FL,SSP245
36,35,34,34,33,32,32,31,30,FL,SSP245
96,95,94,94,93,92,67,66,65,FL,SSP245
96,95,94,94,93,92,92,91,90,FL,SSP245
96,95,94,94,93,92,92,91,90,FL,SSP245
96,95,94,94,93,92,92,91,90,FL,SSP245
96,95,94,94,68,67,67,66,65,FL,SSP245
96,95,94,94,93,92,92,91,90,FL,SSP245
96,95,94,94,93,92,92,91,90,FL,SSP245
96,95,94,94,93,92,92,91,90,FL,SSP245
96,95,94,94,93,92,92,91,90,FL,SSP245
96,95,94,94,93,92,92,91,90,FL,SSP245
36,35,34,34,33,32,32,31,30,FL,SSP245
96,95,94,94,93,92,92,91,90,FL,SSP245
36,35,34,34,33,32,32,31,30,FL,SSP245
96,95,95,94,93,93,92,91,90,FL,SSP245
36,35,34,34,33,32,32,31,30,FL,SSP245
96,95,94,94,93,92,92,91,90,FL,SSP245
97,96,96,95,94,94,93,92,91,FL,SSP245
97,96,95,95,94,93,93,92,91,FL,SSP245
37,36,35,35,34,33,33,32,31,FL,SSP245
97,96,96,95,94,94,93,92,91,FL,SSP245
37,36,36,35,34,34,33,32,31,FL,SSP245
37,36,36,35,34,34,33,32,31,FL,SSP245
97,96,96,95,94,94,93,92,91,FL,SSP245
97,96,96,95,94,94,93,92,91,FL,SSP245
97,96,96,95,94,94,93,92,91,FL,SSP245
97,96,96,95,94,94,93,92,66,FL,SSP245
91,91,90,89,89,88,87,87,86,FL,SSP245
91,91,90,89,89,88,87,87,86,FL,SSP245
91,91,90,89,89,88,87,87,86,FL,SSP245
91,91,90,89,89,88,87,87,86,FL,SSP245
91,91,90,89,89,88,87,87,86,FL,SSP245
91,91,90,89,89,88,87,87,86,FL,SSP245
92,91,90,90,89,88,88,87,86,FL,SSP245
92,91,90,90,89,88,88,87,86,FL,SSP245
91,91,90,89,89,88,87,87,86,FL,SSP245
91,91,90,89,89,88,87,87,86,FL,SSP245
91,91,90,89,89,88,87,87,86,FL,SSP245
92,91,90,90,89,88,88,87,86,FL,SSP245
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
99,99,99,98,97,97,96,95,94,CA,SSP585
99,99,99,98,97,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
100,99,99,98,98,97,96,95,94,CA,SSP585
39,39,38,38,37,37,36,35,34,CA,SSP585
99,99,98,98,97,72,71,70,69,CA,SSP585
99,99,98,98,97,97,96,95,94,CA,SSP585
99,99,98,98,97,97,96,95,94,CA,SSP585
99,99,98,98,97,97,96,95,94,CA,SSP585
99,99,98,98,97,97,96,95,94,CA,SSP585
84,84,83,83,82,82,81,80,79,CA,SSP585
84,84,83,83,82,82,81,80,79,CA,SSP585
84,84,83,83,82,82,81,80,79,CA,SSP585
84,84,83,83,82,82,81,80,79,CA,SSP585
84,84,84,83,82,82,81,80,79,CA,SSP585
84,84,84,83,82,82,81,80,79,CA,SSP585
84,84,84,83,82,82,81,80,79,CA,SSP585
84,84,84,83,82,82,81,80,79,CA,SSP585
84,84,84,83,82,82,81,80,79,CA,SSP585
84,84,84,83,82,82,81,80,79,CA,SSP585
84,84,84,83,82,82,81,80,79,CA,SSP585
84,84,84,83,82,82,81,80,79,CA,SSP585
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
99,99,99,98,98,97,97,96,96,CA,SSP245
99,99,99,98,98,97,97,96,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
100,99,99,99,98,98,97,97,96,CA,SSP245
39,39,39,38,38,37,37,36,36,CA,SSP245
99,99,99,98,98,97,72,71,71,CA,SSP245
99,99,99,98,98,97,97,96,96,CA,SSP245
99,99,99,98,98,97,97,96,96,CA,SSP245
99,99,99,98,98,97,97,96,96,CA,SSP245
99,99,99,98,98,97,97,96,96,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
84,84,84,83,83,82,82,81,81,CA,SSP245
98,97,96,95,94,93,92,91,89,NY,SSP585
98,97,96,95,94,93,92,91,89,NY,SSP585
98,98,97,96,95,94,93,91,90,NY,SSP585
97,97,96,95,94,93,92,90,89,NY,SSP585
98,97,96,95,94,93,92,91,89,NY,SSP585
97,96,95,95,94,93,91,90,89,NY,SSP585
97,96,95,95,94,93,91,90,89,NY,SSP585
96,96,95,94,93,92,91,89,88,NY,SSP585
96,96,95,94,93,92,91,89,88,NY,SSP585
97,96,95,94,93,92,91,90,88,NY,SSP585
97,97,96,95,94,93,92,90,89,NY,SSP585
98,98,97,96,95,94,93,91,90,NY,SSP585
98,97,96,96,95,94,92,91,90,NY,SSP585
98,97,96,95,94,93,92,91,89,NY,SSP585
98,97,96,95,94,93,92,91,89,NY,SSP585
98,97,96,95,94,93,92,91,89,NY,SSP585
97,97,96,95,94,93,92,90,89,NY,SSP585
96,95,94,94,93,92,90,89,88,NY,SSP585
97,97,96,95,94,93,92,90,89,NY,SSP585
97,96,95,95,94,93,91,90,89,NY,SSP585
96,95,94,94,93,92,90,64,63,NY,SSP585
96,96,95,94,93,92,91,89,88,NY,SSP585
96,96,95,94,93,92,91,89,88,NY,SSP585
97,97,96,95,94,93,92,90,89,NY,SSP585
37,37,36,35,34,33,32,30,29,NY,SSP585
98,97,96,96,95,94,92,91,90,NY,SSP585
97,96,95,95,94,93,91,90,89,NY,SSP585
97,96,95,95,94,93,91,90,89,NY,SSP585
97,96,95,95,94,93,91,90,89,NY,SSP585
97,97,96,95,94,93,92,90,89,NY,SSP585
97,97,96,95,94,93,92,90,89,NY,SSP585
99,98,97,96,95,94,93,92,90,NY,SSP585
98,97,96,95,94,93,92,91,89,NY,SSP585
98,98,97,96,95,94,93,66,65,NY,SSP585
98,98,97,96,95,94,93,91,90,NY,SSP585
98,98,97,96,70,69,68,66,65,NY,SSP585
99,98,97,96,95,94,93,92,91,NY,SSP585
98,98,97,96,95,94,93,91,90,NY,SSP585
99,98,97,96,95,94,68,67,66,NY,SSP585
99,98,97,97,96,95,93,92,66,NY,SSP585
98,97,96,95,95,94,93,92,91,NY,SSP245
98,97,96,95,95,94,93,92,91,NY,SSP245
98,98,97,96,95,95,94,93,92,NY,SSP245
97,97,96,95,94,94,93,92,91,NY,SSP245
98,97,96,95,95,94,93,92,91,NY,SSP245
97,96,96,95,94,93,92,92,91,NY,SSP245
97,96,96,95,94,93,92,92,91,NY,SSP245
96,96,95,94,93,93,92,91,90,NY,SSP245
96,96,95,94,93,93,92,91,90,NY,SSP245
97,96,95,94,94,93,92,91,90,NY,SSP245
97,97,96,95,94,94,93,92,91,NY,SSP245
98,98,97,96,95,95,94,93,92,NY,SSP245
98,97,97,96,95,94,93,93,92,NY,SSP245
98,97,96,95,95,94,93,92,91,NY,SSP245
98,97,96,95,95,94,93,92,91,NY,SSP245
98,97,96,95,95,94,93,92,91,NY,SSP245
97,97,96,95,94,94,93,92,91,NY,SSP245
96,95,95,94,93,92,91,91,90,NY,SSP245
97,97,96,95,94,94,93,92,91,NY,SSP245
97,96,96,95,94,93,92,92,91,NY,SSP245
96,95,95,94,93,92,91,91,65,NY,SSP245
96,96,95,94,93,93,92,91,90,NY,SSP245
96,96,95,94,93,93,92,91,90,NY,SSP245
97,97,96,95,94,94,93,92,91,NY,SSP245
37,37,36,35,34,34,33,32,31,NY,SSP245
98,97,97,96,95,94,93,93,92,NY,SSP245
97,96,96,95,94,93,92,92,91,NY,SSP245
97,96,96,95,94,93,92,92,91,NY,SSP245
97,96,96,95,94,93,92,92,91,NY,SSP245
97,97,96,95,94,94,93,92,91,NY,SSP245
97,97,96,95,94,94,93,92,91,NY,SSP245
99,98,97,96,96,95,94,93,92,NY,SSP245
98,97,96,95,95,94,93,92,91,NY,SSP245
98,98,97,96,95,95,94,93,67,NY,SSP245
98,98,97,96,95,95,94,93,92,NY,SSP245
98,98,97,96,95,70,69,68,67,NY,SSP245
99,98,97,96,96,95,94,93,93,NY,SSP245
98,98,97,96,95,95,94,93,92,NY,SSP245
99,98,97,96,96,95,94,68,68,NY,SSP245
99,98,98,97,96,95,94,94,93,NY,SSP245
93,93,92,91,90,89,88,87,86,BOS,SSP585
93,92,92,91,90,89,88,86,85,BOS,SSP585
91,90,89,88,88,87,85,84,83,BOS,SSP585
91,90,89,88,88,87,85,84,83,BOS,SSP585
90,90,89,88,87,86,85,84,83,BOS,SSP585
90,90,89,88,87,86,85,84,83,BOS,SSP585
90,90,89,88,87,86,85,84,83,BOS,SSP585
94,93,92,91,91,90,88,87,86,BOS,SSP585
94,94,93,92,91,90,89,88,87,BOS,SSP585
95,95,94,93,92,91,90,89,88,BOS,SSP585
94,93,92,91,91,90,88,87,86,BOS,SSP585
90,90,89,88,87,86,85,84,83,BOS,SSP585
94,94,93,92,91,90,89,88,87,BOS,SSP585
93,92,91,90,90,89,87,86,85,BOS,SSP585
90,90,89,88,87,86,85,84,83,BOS,SSP585
93,92,92,91,90,89,88,86,85,BOS,SSP585
93,92,92,91,90,89,88,86,85,BOS,SSP585
94,93,92,91,91,90,88,87,86,BOS,SSP585
94,94,93,92,91,90,89,88,87,BOS,SSP585
94,94,93,92,91,90,89,88,87,BOS,SSP585
90,90,89,88,87,86,85,84,83,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
93,92,91,90,90,89,87,86,85,BOS,SSP585
91,90,89,88,88,87,85,84,83,BOS,SSP585
94,93,93,92,91,90,89,87,86,BOS,SSP585
93,92,91,90,90,89,87,86,85,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
94,93,93,92,91,90,89,87,86,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
93,92,92,91,90,89,88,86,85,BOS,SSP585
91,90,89,88,88,87,85,84,83,BOS,SSP585
94,94,93,92,91,90,89,88,87,BOS,SSP585
94,93,92,91,91,90,88,87,86,BOS,SSP585
95,94,93,92,92,91,89,88,87,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
93,92,92,91,90,89,88,87,85,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
93,93,92,91,90,89,88,87,86,BOS,SSP585
90,90,89,88,87,86,85,84,83,BOS,SSP585
93,93,92,91,91,90,89,88,88,BOS,SSP245
93,93,92,91,90,89,89,88,87,BOS,SSP245
91,90,89,89,88,87,86,86,85,BOS,SSP245
91,90,89,89,88,87,86,86,85,BOS,SSP245
90,90,89,88,88,87,86,85,85,BOS,SSP245
90,90,89,88,88,87,86,85,85,BOS,SSP245
90,90,89,88,88,87,86,85,85,BOS,SSP245
94,93,92,92,91,90,89,89,88,BOS,SSP245
94,94,93,92,92,91,90,89,89,BOS,SSP245
94,94,93,92,91,90,90,89,88,BOS,SSP245
94,93,92,92,91,90,89,89,88,BOS,SSP245
90,90,89,88,88,87,86,85,85,BOS,SSP245
94,94,93,92,92,91,90,89,89,BOS,SSP245
93,92,91,91,90,89,88,88,87,BOS,SSP245
94,94,93,92,92,91,90,89,89,BOS,SSP245
93,93,92,91,90,89,89,88,87,BOS,SSP245
93,93,92,91,90,89,89,88,87,BOS,SSP245
94,93,92,92,91,90,89,89,88,BOS,SSP245
94,94,93,92,92,91,90,89,89,BOS,SSP245
94,94,93,92,92,91,90,89,89,BOS,SSP245
90,90,89,88,88,87,86,85,85,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
93,92,91,91,90,89,88,88,87,BOS,SSP245
91,90,89,89,88,87,86,86,85,BOS,SSP245
94,94,93,92,91,90,90,89,88,BOS,SSP245
93,92,91,91,90,89,88,88,87,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
94,94,93,92,91,90,90,89,88,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
93,93,92,91,90,89,89,88,87,BOS,SSP245
91,90,89,89,88,87,86,86,85,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
94,93,92,92,91,90,89,89,88,BOS,SSP245
95,94,93,93,92,91,90,90,89,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
93,93,92,91,90,90,89,88,87,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
93,93,92,91,91,90,89,88,88,BOS,SSP245
90,90,89,88,88,87,86,85,85,BOS,SSP245
